ROWNUM;Name;Location;Type;TypePhoto;Power;AdmArea;X_WGS;Y_WGS;GLOBALID;
556;"Часы";"Садовая-Сухаревская ул., д8/12 пересечение с Трубной ул.";"КП 098-01";"";"0.125";"Центральный АО";"37.624869";"55.773357";"92386906";
557;"Часы";"Рябиновая ул., 1-я опора пересечение с Верейской ул.";"КП 098-01";"";"0.125";"Западный АО";"37.422719";"55.712663";"92386907";
558;"Часы";"Сколковское шоссе, д25 пересечение с Вяземской ул.";"КП 098-01";"";"0.125";"Западный АО";"37.405284";"55.708767";"92386908";
559;"Часы";"Сколковское шоссе, напротив д36 пересечение с Беловежской ул";"КП 098-01";"";"0.125";"Западный АО";"37.401149";"55.703655";"92386909";
560;"Часы";"Веерная ул., д30 к6 пересечение с Нежинской ул.";"КП 098-01";"";"0.125";"Западный АО";"37.475792";"55.71005";"92386910";
561;"Часы";"Проточный пер., д11 пересечение со Смоленским пер.";"КП 098-01";"";"0.125";"Центральный АО";"37.579189";"55.750303";"92386911";
562;"Часы";"Дмитровское шоссе, напротив д13/15 м.""Тимирязевская"" из центра";"КП 098-01";"";"0.125";"Северный АО";"37.575226";"55.818483";"92386912";
563;"Часы";"Дмитровское шоссе, д13/15 м.""Тимирязевская"" в центр";"КП 098-01";"";"0.125";"Северный АО";"37.574776";"55.818323";"92386913";
564;"Часы";"Введенского ул., напротив д4 пересечение с местным пр.";"КП 098-01";"";"0.125";"Юго-Западный АО";"37.549799";"55.64931";"92386914";
565;"Часы";"Авиамоторная ул., д39 Лефортовский рынок";"КП 098-01";"";"0.125";"Юго-Восточный АО";"37.716075";"55.753942";"92386915";
566;"Часы";"Энтузиастов шоссе, д20 пересечение с Авиамоторной ул.";"КП 098-01";"";"0.125";"Юго-Восточный АО";"37.716117";"55.751191";"92386916";
567;"Часы";"Краснокурсантский 1-й пр., напротив д7 пересечение с Солдатской ул.";"КП 098-01";"";"0.125";"Юго-Восточный АО";"37.701333";"55.765174";"92386917";
568;"Часы";"Петровка ул., д5/7 пересечение с ул.Кузнецкий мост";"КП 098-01";"";"0.125";"Центральный АО";"37.618033";"55.76177";"92386918";
569;"Часы";"Очаковская Б.ул., д30 пересечение с ул.Пржевальского";"КП 098-01";"";"0.125";"Западный АО";"37.453045";"55.680528";"92386919";
570;"Часы";"Профсоюзная ул., д43 к1 м.""Новые Черемушки""";"КП 098-01";"";"0.125";"Юго-Западный АО";"37.553573";"55.669006";"92386920";
571;"Часы";"Крымский вал ул., напротив д8 ЦПКиО им.Горького";"КП 098-01";"";"0.125";"Центральный АО";"37.607464";"55.731389";"92386921";
572;"Часы";"Снежная ул., д19 пересечение с пр-м Нансена";"КП 098-01";"";"0.125";"Северо-Восточный АО";"37.649571";"55.853781";"92386922";
573;"Часы";"Симферопольский б-р, д29";"КП 098-01";"";"0.125";"Южный АО";"37.605776";"55.645983";"92386923";
